1.000000	0.000000	0.000000
1.051282	0.000000	0.000000
1.102564	0.000000	0.000000
1.153846	0.000000	0.000000
1.205128	0.000000	0.000000
1.256410	0.000000	0.000000
1.307692	0.000000	0.000000
1.358974	0.000000	0.000000
1.410256	0.000000	0.000000
1.461538	0.000000	0.000000
1.512821	0.000000	0.000000
1.564103	0.000000	0.000000
1.615385	0.000000	0.000000
1.666667	0.000000	0.000000
1.717949	0.000000	0.000000
1.769231	0.000000	0.000000
1.820513	0.000000	0.000000
1.871795	0.000000	0.000000
1.923077	0.000000	0.000000
1.974359	0.000000	0.000000
2.025641	0.000000	0.000000
2.076923	0.000000	0.000000
2.128205	0.000000	0.000000
2.179487	0.000000	0.000000
2.230769	0.000000	0.000000
2.282051	0.000000	0.000000
2.333333	0.000000	0.000000
2.384615	0.000000	0.000000
2.435897	0.000000	0.000000
2.487179	0.000000	0.000000
2.538462	0.000000	0.000000
2.589744	0.000000	0.000000
2.641026	0.000000	0.000000
2.692308	0.000000	0.000000
2.743590	0.000000	0.000000
2.794872	0.000000	0.000000
2.846154	0.000000	0.000000
2.897436	0.000000	0.000000
2.948718	0.000000	0.000000
3.000000	0.000000	0.000000

0.999333	0.036524	0.000000
1.050581	0.038397	0.000919
1.101828	0.040270	0.001839
1.153076	0.042143	0.002758
1.204324	0.044016	0.003678
1.255572	0.045889	0.004597
1.306820	0.047762	0.005516
1.358068	0.049635	0.006436
1.409315	0.051508	0.007355
1.460563	0.053381	0.008275
1.511811	0.055254	0.009194
1.563059	0.057127	0.010113
1.614307	0.059000	0.011033
1.665555	0.060873	0.011952
1.716802	0.062747	0.012872
1.768050	0.064620	0.013791
1.819298	0.066493	0.014711
1.870546	0.068366	0.015630
1.921794	0.070239	0.016549
1.973042	0.072112	0.017469
2.024289	0.073985	0.018388
2.075537	0.075858	0.019308
2.126785	0.077731	0.020227
2.178033	0.079604	0.021146
2.229281	0.081477	0.022066
2.280529	0.083350	0.022985
2.331776	0.085223	0.023905
2.383024	0.087096	0.024824
2.434272	0.088969	0.025743
2.485520	0.090842	0.026663
2.536768	0.092715	0.027582
2.588016	0.094588	0.028502
2.639263	0.096461	0.029421
2.690511	0.098334	0.030340
2.741759	0.100207	0.031260
2.793007	0.102080	0.032179
2.844255	0.103953	0.033099
2.895503	0.105826	0.034018
2.946750	0.107699	0.034937
2.997998	0.109572	0.035857

0.997293	0.073530	0.000000
1.048436	0.077301	0.001816
1.099579	0.081072	0.003632
1.150723	0.084842	0.005448
1.201866	0.088613	0.007264
1.253009	0.092384	0.009080
1.304152	0.096155	0.010896
1.355296	0.099925	0.012712
1.406439	0.103696	0.014528
1.457582	0.107467	0.016344
1.508725	0.111238	0.018160
1.559869	0.115009	0.019976
1.611012	0.118779	0.021792
1.662155	0.122550	0.023608
1.713298	0.126321	0.025424
1.764441	0.130092	0.027240
1.815585	0.133862	0.029056
1.866728	0.137633	0.030872
1.917871	0.141404	0.032688
1.969014	0.145175	0.034504
2.020158	0.148945	0.036320
2.071301	0.152716	0.038135
2.122444	0.156487	0.039951
2.173587	0.160258	0.041767
2.224731	0.164029	0.043583
2.275874	0.167799	0.045399
2.327017	0.171570	0.047215
2.378160	0.175341	0.049031
2.429303	0.179112	0.050847
2.480447	0.182882	0.052663
2.531590	0.186653	0.054479
2.582733	0.190424	0.056295
2.633876	0.194195	0.058111
2.685020	0.197966	0.059927
2.736163	0.201736	0.061743
2.787306	0.205507	0.063559
2.838449	0.209278	0.065375
2.889593	0.213049	0.067191
2.940736	0.216819	0.069007
2.991879	0.220590	0.070823

0.993826	0.110950	0.000000
1.044791	0.116639	0.002687
1.095757	0.122329	0.005373
1.146722	0.128019	0.008060
1.197688	0.133708	0.010746
1.248653	0.139398	0.013433
1.299619	0.145088	0.016119
1.350584	0.150778	0.018806
1.401550	0.156467	0.021492
1.452515	0.162157	0.024179
1.503480	0.167847	0.026866
1.554446	0.173536	0.029552
1.605411	0.179226	0.032239
1.656377	0.184916	0.034925
1.707342	0.190606	0.037612
1.758308	0.196295	0.040298
1.809273	0.201985	0.042985
1.860238	0.207675	0.045671
1.911204	0.213365	0.048358
1.962169	0.219054	0.051045
2.013135	0.224744	0.053731
2.064100	0.230434	0.056418
2.115066	0.236123	0.059104
2.166031	0.241813	0.061791
2.216997	0.247503	0.064477
2.267962	0.253193	0.067164
2.318927	0.258882	0.069850
2.369893	0.264572	0.072537
2.420858	0.270262	0.075224
2.471824	0.275951	0.077910
2.522789	0.281641	0.080597
2.573755	0.287331	0.083283
2.624720	0.293021	0.085970
2.675685	0.298710	0.088656
2.726651	0.304400	0.091343
2.777616	0.310090	0.094029
2.828582	0.315780	0.096716
2.879547	0.321469	0.099402
2.930513	0.327159	0.102089
2.981478	0.332849	0.104776

0.988881	0.148708	0.000000
1.039593	0.156334	0.003528
